Partner Name,Year,Export (US$ Billion)
Aruba,2020,0.94768743
Afghanistan,2020,7.32020674
Angola,2020,9.69703621
Anguila,2020,0.15560351
Albania,2020,8.57913224
Andorra,2020,3.03937307
United Arab Emirates,2020,208.0733415
Argentina,2020,46.59745484
Armenia,2020,4.22542266
American Samoa,2020,0.13548179
Antarctica,2020,0.04826681
Fr. S. Antarctic Lands,2020,0.04416577
Antigua and Barbuda,2020,1.0096675
Australia,2020,225.0163511
Austria,2020,158.0376599
Azerbaijan,2020,11.24746237
British Antarctic Territory,2020,0
Burundi,2020,0.70456451
Belgium,2020,354.1670482
Benin,2020,4.34022175
Bonaire,2020,0.38862755
Burkina Faso,2020,3.69616893
Bangladesh,2020,52.59714284
Bulgaria,2020,33.22604262
Bahrain,2020,14.83008234
Bahamas,2020,7.16808867
Bosnia and Herzegovina,2020,14.673959
Saint Barthélemy,2020,0.05190422
Belarus,2020,36.72183633
Belize,2020,1.08874268
Bermuda,2020,2.88781841
Bolivia,2020,5.61332278
Brazil,2020,187.1277883
Barbados,2020,1.56010098
Brunei,2020,4.01212478
Bhutan,2020,0.92488529
Bunkers,2020,30.88369278
Bouvet Island,2020,0.00101229
Botswana,2020,6.13685634
Central African Republic,2020,0.44289269
Canada,2020,443.3077393
Cocos (Keeling) Islands,2020,0.00700808
Switzerland,2020,445.9589538
Chile,2020,65.30162191
China,2020,1943.21634
Ivory Coast,2020,13.37700202
Cameroon,2020,8.53542196
Republic of the Congo,2020,3.13165652
Cook Islands,2020,0.1038248
Colombia,2020,46.80392587
Comoros,2020,0.35767283
Cape Verde,2020,1.40875507
Costa Rica,2020,14.5823588
Cuba,2020,5.62318238
Curaçao,2020,1.30510649
Christmas Island,2020,0.02444775
Cayman Islands,2020,6.66234319
Cyprus,2020,10.60086545
Czechia,2020,152.3595958
Germany,2020,1092.044662
Djibouti,2020,5.69663283
Dominica,2020,0.27559971
Denmark,2020,93.75151861
Dominican Rep.,2020,18.26319538
Algeria,2020,49.55206903
Ecuador,2020,17.87678364
Egypt,2020,90.8848181
Eritrea,2020,0.4236763
Western Sahara,2020,0.00922251
Spain,2020,298.5524296
Estonia,2020,19.51568205
Ethiopia,2020,10.2068119
Finland,2020,65.26535667
Fiji,2020,1.50829354
Falkland Is.,2020,0.15701012
France,2020,552.7483915
Free Zones,2020,2.91824471
Faeroe Islands,2020,2.11247784
"Micronesia, Fed. Sts.",2020,0.14425507
Gabon,2020,3.09901899
United Kingdom,2020,892.4037134
Georgia,2020,9.96999782
